DateTime,Date,Time,Name,LastModified,Value,RawValue
2021-11-24 14:10:10.081,2021-11-24,14:10:10.081,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"Alram_ana1",2021-11-24 14:10:10.915,95.069033530572,95
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:10.915,2021-11-24,14:10:10.915,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.016,2021-11-24,14:10:11.016,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.116,2021-11-24,14:10:11.116,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.216,2021-11-24,14:10:11.216,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.316,2021-11-24,14:10:11.316,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"Alram_ana1",2021-11-24 14:10:10.939,100,100
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:11.416,2021-11-24,14:10:11.416,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"Alram_ana1",2021-11-24 14:10:12.011,96.4497041420118,96
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.011,2021-11-24,14:10:12.011,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.112,2021-11-24,14:10:12.112,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.212,2021-11-24,14:10:12.212,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"Alram_ana1",2021-11-24 14:10:12.066,100,100
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"b",2021-11-24 14:09:52.493,0,0
2021-11-24 14:10:12.312,2021-11-24,14:10:12.312,"g",2021-11-24 14:09:52.491,0,0
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"Alram_ana1",2021-11-24 14:12:29.243,95.2662721893491,95
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.248,2021-11-24,14:12:29.248,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.349,2021-11-24,14:12:29.349,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.450,2021-11-24,14:12:29.450,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"Alram_ana1",2021-11-24 14:12:29.291,100,100
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.550,2021-11-24,14:12:29.550,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"Alram_ana1",2021-11-24 14:12:29.635,96.2524654832347,96
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:29.649,2021-11-24,14:12:29.649,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"Alram_ana1",2021-11-24 14:12:30.555,95.2662721893491,95
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.556,2021-11-24,14:12:30.556,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.656,2021-11-24,14:12:30.656,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.757,2021-11-24,14:12:30.757,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"Alram_ana1",2021-11-24 14:12:30.619,100,100
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:30.857,2021-11-24,14:12:30.857,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"Alram_ana1",2021-11-24 14:12:34.291,96.8441814595661,97
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.291,2021-11-24,14:12:34.291,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.393,2021-11-24,14:12:34.393,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.492,2021-11-24,14:12:34.492,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.592,2021-11-24,14:12:34.592,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"Alram_ana1",2021-11-24 14:12:34.299,100,100
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:34.692,2021-11-24,14:12:34.692,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"Alram_ana1",2021-11-24 14:12:35.187,97.2386587771203,97
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:35.187,2021-11-24,14:12:35.187,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.288,2021-11-24,14:12:35.288,"Alram_ana1",2021-11-24 14:12:35.195,100,100
2021-11-24 14:12:35.288,2021-11-24,14:12:35.288,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:35.288,2021-11-24,14:12:35.288,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.388,2021-11-24,14:12:35.388,"Alram_ana1",2021-11-24 14:12:35.195,100,100
2021-11-24 14:12:35.388,2021-11-24,14:12:35.388,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:35.388,2021-11-24,14:12:35.388,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:35.488,2021-11-24,14:12:35.488,"Alram_ana1",2021-11-24 14:12:35.483,99.6055226824458,100
2021-11-24 14:12:35.488,2021-11-24,14:12:35.488,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:35.488,2021-11-24,14:12:35.488,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.028,2021-11-24,14:12:36.028,"Alram_ana1",2021-11-24 14:12:36.027,96.0552268244576,96
2021-11-24 14:12:36.028,2021-11-24,14:12:36.028,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.028,2021-11-24,14:12:36.028,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.129,2021-11-24,14:12:36.129,"Alram_ana1",2021-11-24 14:12:36.043,100,100
2021-11-24 14:12:36.129,2021-11-24,14:12:36.129,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.129,2021-11-24,14:12:36.129,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.228,2021-11-24,14:12:36.228,"Alram_ana1",2021-11-24 14:12:36.043,100,100
2021-11-24 14:12:36.228,2021-11-24,14:12:36.228,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.228,2021-11-24,14:12:36.228,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.328,2021-11-24,14:12:36.328,"Alram_ana1",2021-11-24 14:12:36.043,100,100
2021-11-24 14:12:36.328,2021-11-24,14:12:36.328,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.328,2021-11-24,14:12:36.328,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.429,2021-11-24,14:12:36.429,"Alram_ana1",2021-11-24 14:12:36.043,100,100
2021-11-24 14:12:36.429,2021-11-24,14:12:36.429,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.429,2021-11-24,14:12:36.429,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:36.529,2021-11-24,14:12:36.529,"Alram_ana1",2021-11-24 14:12:36.499,96.4497041420118,96
2021-11-24 14:12:36.529,2021-11-24,14:12:36.529,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:36.529,2021-11-24,14:12:36.529,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:38.947,2021-11-24,14:12:38.947,"Alram_ana1",2021-11-24 14:12:38.947,95.4635108481262,95
2021-11-24 14:12:38.947,2021-11-24,14:12:38.947,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:38.947,2021-11-24,14:12:38.947,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.048,2021-11-24,14:12:39.048,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.048,2021-11-24,14:12:39.048,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.048,2021-11-24,14:12:39.048,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.148,2021-11-24,14:12:39.148,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.148,2021-11-24,14:12:39.148,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.148,2021-11-24,14:12:39.148,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.248,2021-11-24,14:12:39.248,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.248,2021-11-24,14:12:39.248,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.248,2021-11-24,14:12:39.248,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.348,2021-11-24,14:12:39.348,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.348,2021-11-24,14:12:39.348,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.348,2021-11-24,14:12:39.348,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.448,2021-11-24,14:12:39.448,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.448,2021-11-24,14:12:39.448,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.448,2021-11-24,14:12:39.448,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:39.547,2021-11-24,14:12:39.547,"Alram_ana1",2021-11-24 14:12:38.987,100,100
2021-11-24 14:12:39.547,2021-11-24,14:12:39.547,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:39.547,2021-11-24,14:12:39.547,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.347,2021-11-24,14:12:40.347,"Alram_ana1",2021-11-24 14:12:40.347,95.4635108481262,95
2021-11-24 14:12:40.347,2021-11-24,14:12:40.347,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.347,2021-11-24,14:12:40.347,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.448,2021-11-24,14:12:40.448,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.448,2021-11-24,14:12:40.448,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.448,2021-11-24,14:12:40.448,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.548,2021-11-24,14:12:40.548,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.548,2021-11-24,14:12:40.548,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.548,2021-11-24,14:12:40.548,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.648,2021-11-24,14:12:40.648,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.648,2021-11-24,14:12:40.648,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.648,2021-11-24,14:12:40.648,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.748,2021-11-24,14:12:40.748,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.748,2021-11-24,14:12:40.748,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.748,2021-11-24,14:12:40.748,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.848,2021-11-24,14:12:40.848,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.848,2021-11-24,14:12:40.848,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.848,2021-11-24,14:12:40.848,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:40.948,2021-11-24,14:12:40.948,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:40.948,2021-11-24,14:12:40.948,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:40.948,2021-11-24,14:12:40.948,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:41.048,2021-11-24,14:12:41.048,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:41.048,2021-11-24,14:12:41.048,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:41.048,2021-11-24,14:12:41.048,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:41.148,2021-11-24,14:12:41.148,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:41.148,2021-11-24,14:12:41.148,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:41.148,2021-11-24,14:12:41.148,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:12:41.248,2021-11-24,14:12:41.248,"Alram_ana1",2021-11-24 14:12:40.371,100,100
2021-11-24 14:12:41.248,2021-11-24,14:12:41.248,"b",2021-11-24 14:12:23.496,0,0
2021-11-24 14:12:41.248,2021-11-24,14:12:41.248,"g",2021-11-24 14:12:23.494,0,0
2021-11-24 14:13:52.688,2021-11-24,14:13:52.688,"Alram_ana1",2021-11-24 14:13:52.683,95.069033530572,95
2021-11-24 14:13:52.688,2021-11-24,14:13:52.688,"b",2021-11-24 14:13:46.712,0,
